Band,Popularity,Followers,Genre_1,Genre_2,Genre_3,Genre_4,Genre_5,Genre_6,Genre_7,Genre_8,Genre_9
Slipknot,81,12021793,alternative metal,nu metal,rap metal,rock,,,,,
Electric Callboy,68,890514,comic metal,german metalcore,trancecore,,,,,,
Wanda,54,256867,austropop,german indie,,,,,,,
Lorna Shore,61,718532,blackened deathcore,melodic metalcore,symphonic deathcore,,,,,,
Korn,78,8139641,alternative metal,funk metal,hard rock,nu metal,post-grunge,rap metal,rock,,
The Ghost Inside,57,364327,melodic metalcore,metalcore,,,,,,,
Dead Poet Society,55,164867,boston indie,modern alternative rock,,,,,,,
TBA,5,752,,,,,,,,,
Iggy Pop,62,1664038,alternative rock,glam rock,permanent wave,protopunk,rock,,,,
In Flames,66,1214881,alternative metal,gothenburg metal,melodic death metal,melodic metalcore,metal,swedish alternative rock,swedish death metal,swedish melodeath,swedish metal
Motionless In White,70,1733820,alternative metal,metalcore,,,,,,,
Knocked Loose,63,507011,kentucky metal,kentucky punk,,,,,,,
Apocalyptica,61,1071265,cello,finnish metal,,,,,,,
Jerry Cantrell,51,318694,alternative metal,grunge,post-grunge,,,,,,
Poppy,65,1459455,alt z,,,,,,,,
Peyton Parrish,64,816030,,,,,,,,,
Polaris,61,334739,australian metalcore,australian post-hardcore,melodic metalcore,metalcore,,,,,
NOTHING MORE,64,479684,post-grunge,,,,,,,,
Seven Hours After Violet,41,15521,,,,,,,,,
Kittie,54,655677,alternative metal,canadian metal,industrial metal,nu metal,,,,,
VOWWS,30,18706,dark post-punk,,,,,,,,
SDP,69,1080717,german pop,german reggae,,,,,,,
Flogging Molly,56,683925,celtic punk,celtic rock,punk,,,,,,
Biffy Clyro,58,726910,modern rock,scottish rock,,,,,,,
Airbourne,59,819468,hard rock,,,,,,,,
GReeeN,66,465556,german hip hop,,,,,,,,
Amaranthe,60,586357,gothic symphonic metal,power metal,symphonic metal,,,,,,
Thrice,56,468878,post-hardcore,screamo,,,,,,,
From Ashes to New,61,545437,post-grunge,rap rock,,,,,,,
Whitechapel,56,565814,deathcore,melodic metalcore,metalcore,nu metal,tennessee metal,,,,
Igel vs. Shark,16,1290,austrian punk,,,,,,,,
Dream Theater,64,1626216,metal,progressive metal,,,,,,,
Alligatoah,67,1210662,german pop,,,,,,,,
IDLES,61,729562,bristol indie,crank wave,indie rock,modern rock,,,,,
Heaven Shall Burn,48,274168,german melodeath,german metalcore,melodic death metal,melodic metalcore,metalcore,,,,
Skillet,76,5326548,alternative metal,christian alternative rock,christian music,christian rock,,,,,
Me First and the Gimme Gimmes,51,343043,punk,ska,ska punk,skate punk,,,,,
LANDMVRKS,56,227938,melodic metalcore,metalcore,,,,,,,
Imminence,58,267153,metalcore,swedish metalcore,,,,,,,
Versengold,54,135325,medieval rock,,,,,,,,
Bad Wolves,67,761641,alternative metal,metal,post-grunge,,,,,,
The Butcher Sisters,49,29900,german hardcore,,,,,,,,
All Faces Down,30,13825,austrian metal,post-post-hardcore,,,,,,,
